tweet_id,author_id,created_at,lang,text
1537111359539843072,69183155,2022-06-15 16:34:40+00:00,in,"#Terpopuler Nenek dari Emmeril Kahn Mumtadz, Tjutju Sukaesih, mengucapkan rasa syukur jenazah Eril bisa ditemukan. Dia juga menceritakan soal kain kafan untuk Eril. https://t.co/sMArtag4fV"
1537100627297566720,1356100678830047235,2022-06-15 15:52:02+00:00,in,"Kisah Eril lahir di Amerika saat status Ridwan Kamil masih pengangguran 

#CelebritiesDotID #InfoCelebTerkini  @ridwankamil @Sobat_RK 
https://t.co/w0mzrlMzoZ"
1537059753737826315,1533808301665710080,2022-06-15 13:09:37+00:00,in,"Pawang Hujan Rara Isti Wulandari atau Mbak Rara menghadiri pemakaan putra Ridwan Kamil, Emmeril Kahn #berita #menarik https://t.co/yMEUMZST2C"
1537057867622076416,1511157784837980161,2022-06-15 13:02:07+00:00,in,"Innalilahi wa innailaihi Raji'un
Turut Berduka Cita atas Wafatnya Emmeril Kahn Mumtadz (Eril)
Putra Sulung M. Ridwan Kamil

Semoga amal Ibadah dan Iman Islamnya diterima Allah SWT.
Aamiin https://t.co/3uGcnsrnxB"
1537053094198099968,1472129121396219906,2022-06-15 12:43:09+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/tg1at2967W - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/etXv21vSk4) atau Eril (https://t.co/U9aFssLwYW), putra dari Ridwan Kamil (https://t.co/ayevUlMc8D) disemayamkan."
1537053079354454016,1460087364609462275,2022-06-15 12:43:05+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/mMT5EK9VNm - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/a99DVBuhha) atau Eril (https://t.co/G68qGepS7S), putra dari Ridwan Kamil (https://t.co/IrHVW72VI1) disemayamkan."
1537053054989656065,1462624868369715205,2022-06-15 12:43:00+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/Fuwv04feLC - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/8R83QIvEex) atau Eril (https://t.co/TVNfEzKAZK), putra dari Ridwan Kamil (https://t.co/yw2GfRTlPj) disemayamkan."
1537053040603275265,227758610,2022-06-15 12:42:56+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/7lkqsBbNgE - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/4FBxmSKUUl) atau Eril (https://t.co/ycZf8AqkNz), putra dari Ridwan Kamil (https://t.co/TkiA7VM19R) disemayamkan."
1537053024895508481,219312049,2022-06-15 12:42:52+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/5WmPvFD3YZ - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/k7ZOqaq6mN) atau Eril (https://t.co/NSPvjjbHCA), putra dari Ridwan Kamil (https://t.co/10vo8btl0f) disemayamkan."
1537053008923709440,226014807,2022-06-15 12:42:49+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/tmj1J4wZKs - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/OAKhiXi8A2) atau Eril (https://t.co/a3rne7BS5r), putra dari Ridwan Kamil (https://t.co/6Kh9gg1v2U) disemayamkan."
